RunID,UserID,Distance,RunTime,Date,Location,Image,Post,Likes
0,75,7.0,0:47:50,2018-03-09 11:15:00,"Tampa, FL",IMG0000,"Nulla mollis felis nibh, fermentum accumsan leo malesuada a.",0
1,38,10.8,1:25:19,2018-07-12 15:29:28,"Philadelphia, PA",,"In hac habitasse platea dictumst. Quisque efficitur diam ornare, vestibulum tellus vel, finibus nibh. Cras convallis erat et ante maximus dapibus. Suspendisse in turpis dignissim, suscipit nibh eget, maximus est. Aliquam erat volutpat.",0
2,32,9.5,1:29:18,2018-02-07 15:50:25,"Houston, TX",,"Aenean non luctus velit. Etiam sollicitudin leo at lacus facilisis, sed interdum ante pulvinar. Praesent sed venenatis est. Etiam blandit, arcu ut pharetra molestie, tortor felis pulvinar purus, sit amet egestas justo dolor eget nibh. Morbi scelerisque hendrerit pretium.",0
3,21,0.8,0:05:11,2018-10-25 22:18:36,"Arlington Heights, IL",IMG0001,,0
4,84,1.3,0:07:52,2019-02-20 23:08:07,"Waukesha, WI",,,0
5,97,8.1,1:00:29,2019-01-29 00:00:31,"Miramar, FL",,Proin sed imperdiet mauris. Fusce dignissim vel nunc in dictum.,0
6,98,12.5,1:50:12,2019-03-24 02:33:02,"Aurora, CO",,"Etiam malesuada rhoncus condimentum. Ut imperdiet hendrerit elit, ut hendrerit sapien commodo vitae. Nunc vehicula placerat orci ac congue.",0
7,44,6.6,1:05:47,2019-03-07 10:18:30,"Bay City, MI",,"Donec commodo mi ac massa suscipit, eu molestie velit ultrices. Sed et lacus ac ligula congue posuere eu ut risus.",0
8,26,4.0,0:29:44,2018-08-12 17:10:37,"Rochelle Park, NJ",,"Pellentesque dolor ante, tincidunt eget dignissim non, efficitur at neque. Etiam tempor imperdiet porta. Integer commodo tincidunt felis, id scelerisque ipsum pulvinar non. Etiam blandit, arcu ut pharetra molestie, tortor felis pulvinar purus, sit amet egestas justo dolor eget nibh.",0
9,27,6.8,0:44:53,2018-11-08 04:59:24,"Birmingham, AL",,"Aliquam a suscipit eros. Nullam eu ullamcorper neque. Quisque pharetra est augue, et bibendum quam pulvinar ac.",0
10,95,3.8,0:38:49,2019-08-10 00:24:58,"Chandler, AZ",,"Nulla nisl orci, malesuada quis mi id, consequat efficitur ante. Mauris sed dui sed lacus vulputate ornare non porta quam. Suspendisse condimentum sed nisi et porttitor. Sed tincidunt et tellus eget suscipit. Aenean suscipit at ante at aliquam.",0
11,7,7.7,1:12:15,2020-01-25 10:23:25,"Stlouis, MO",,"Aliquam erat volutpat. Duis vel sem quis diam cursus ornare. Cras id diam maximus, mattis velit nec, convallis justo. Nam rhoncus lacinia dolor. Quisque efficitur pellentesque eros sit amet aliquet.",0
12,39,3.8,0:46:48,2018-11-20 14:24:54,"Warren, OH",IMG0002,"Duis feugiat enim at eleifend pulvinar. Fusce sit amet ultricies tellus. Nulla nisl orci, malesuada quis mi id, consequat efficitur ante. Proin vel tempus erat. Vivamus hendrerit diam ac venenatis consectetur.",0
13,51,4.6,0:36:48,2018-12-02 09:52:27,"Alexandria, VA",,"Donec et mi magna. Nulla nisl orci, malesuada quis mi id, consequat efficitur ante. Suspendisse sodales sit amet libero at dignissim.",0
14,67,4.5,0:43:57,2018-11-20 03:18:54,"Surf City, NJ",IMG0003,"Quisque efficitur pellentesque eros sit amet aliquet. Ut pretium, nisi ac facilisis cursus, purus ante pellentesque odio, eget consequat risus ante ut nisl. Ut pharetra, ligula in luctus consequat, lorem magna accumsan ligula, eu sollicitudin eros dolor a sapien. Nulla feugiat, felis vel vehicula consequat, elit urna bibendum justo, quis accumsan metus augue et leo.",0
15,16,4.6,0:58:25,2019-01-03 21:34:47,"Mandarin, FL",IMG0004,"Pellentesque venenatis nisi dolor, in dictum arcu accumsan nec. Suspendisse sodales sit amet libero at dignissim. Proin gravida, dui et posuere ullamcorper, eros libero mattis turpis, non lacinia risus metus in lectus. Vivamus sagittis massa et turpis elementum, nec dictum augue sodales. Etiam vitae sollicitudin urna.",0
16,31,3.6,0:38:06,2018-10-20 20:47:50,"Grand Island, NE",,Donec consequat arcu quis metus pharetra fringilla. Proin vel tempus erat.,0
